Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
11.77 s,3,923,307.667,0.361,39.574,4.783,69.897
11.80 s,3,923,307.667,0.361,39.422,5.004,53.973
11.83 s,3,923,307.667,0.361,39.291,5.012,52.282
11.87 s,3,940,313.333,0.367,39.592,5.053,52.956
11.90 s,3,937,312.333,0.366,39.773,4.967,58.085
11.93 s,3,934,311.333,0.365,39.424,5.042,52.269
11.97 s,4,934,233.500,0.365,30.392,3.759,40.451
12.00 s,4,930,232.500,0.364,29.995,4.038,41.145
12.03 s,3,936,312.000,0.366,39.386,5.022,56.526
12.07 s,3,932,310.667,0.364,39.632,5.015,56.162
12.10 s,3,939,313.000,0.367,39.467,5.057,57.514
12.13 s,4,951,237.750,0.372,30.566,3.913,78.692
12.17 s,3,940,313.333,0.367,40.316,4.931,67.513
12.20 s,3,937,312.333,0.366,39.860,5.016,62.753
12.23 s,3,943,314.333,0.369,39.425,5.077,63.120
12.27 s,3,937,312.333,0.366,39.489,5.047,64.490
12.30 s,3,940,313.333,0.367,39.944,4.966,72.934
12.33 s,3,943,314.333,0.369,39.675,5.056,67.952
12.37 s,3,940,313.333,0.367,39.617,5.050,68.878
12.40 s,3,939,313.000,0.367,39.659,5.042,69.492
12.43 s,3,937,312.333,0.366,39.711,5.030,69.716
12.47 s,3,939,313.000,0.367,39.963,4.961,75.689
12.50 s,3,934,311.333,0.365,39.974,4.940,75.130
12.53 s,3,948,316.000,0.371,39.797,5.130,73.258
12.57 s,4,938,234.500,0.367,30.357,3.987,54.893
12.60 s,3,935,311.667,0.365,39.386,5.050,64.782
12.63 s,3,933,311.000,0.365,39.787,4.951,69.577
12.67 s,3,934,311.333,0.365,39.753,5.014,63.026
12.70 s,3,931,310.333,0.364,40.220,4.905,67.769
12.73 s,4,940,235.000,0.367,30.032,3.998,50.165
12.77 s,3,920,306.667,0.360,39.640,4.915,63.936
12.80 s,3,928,309.333,0.363,39.492,5.016,57.469
12.83 s,3,919,306.333,0.359,39.409,4.941,57.142
12.87 s,3,927,309.000,0.362,39.376,5.020,54.006
12.90 s,3,918,306.000,0.359,39.265,4.999,54.027
12.93 s,3,933,311.000,0.365,39.670,4.962,58.455
12.97 s,3,922,307.333,0.360,39.358,5.002,51.927
13.00 s,3,924,308.000,0.361,39.750,4.569,67.904
13.03 s,3,933,311.000,0.365,39.444,5.036,52.182
13.07 s,3,924,308.000,0.361,39.550,4.995,53.796
13.10 s,3,926,308.667,0.362,39.948,4.912,60.828
13.13 s,3,930,310.000,0.364,39.498,4.813,69.748
13.17 s,3,938,312.667,0.367,39.999,4.953,63.144
13.20 s,3,943,314.333,0.369,39.833,5.041,58.344
13.23 s,3,939,313.000,0.367,39.782,5.031,59.717
13.27 s,3,923,307.667,0.361,39.868,4.961,61.091
13.30 s,3,938,312.667,0.367,39.672,5.037,62.518
13.33 s,4,928,232.000,0.363,30.013,4.031,47.962
13.37 s,3,940,313.333,0.367,40.067,4.671,65.324
13.40 s,3,950,316.667,0.371,40.058,4.994,72.773
13.43 s,3,939,313.000,0.367,39.638,4.838,82.828
13.47 s,3,937,312.333,0.366,39.715,4.973,73.920
13.50 s,4,942,235.500,0.368,30.238,4.010,56.694
