 ,Area,XM,YM,Major,Minor,Angle
29793,137,775.726,140.507,34.115,5.113,85.562
29794,249,774.608,136.384,43.125,7.352,84.342
29795,402,773.201,133.137,52.811,9.692,82.700
29796,1,75.500,149.500,1.128,1.128,0.000
29797,523,771.854,129.701,62.755,10.611,80.754
29798,1,75.500,149.500,1.128,1.128,0.000
29799,620,770.308,128.223,71.648,11.018,79.721
29800,735,768.937,125.854,84.123,11.125,78.997
29801,842,767.720,123.374,95.904,11.179,78.846
29802,895,766.372,124.175,100.333,11.358,79.123
29803,911,764.644,126.950,102.079,11.363,80.345
29804,1,75.500,149.500,1.128,1.128,0.000
29805,945,762.237,131.877,102.762,11.709,82.567
29806,1,75.500,149.500,1.128,1.128,0.000
29807,1,402.500,248.500,1.128,1.128,0.000
29808,973,760.283,137.116,104.844,11.816,84.852
29809,1,75.500,149.500,1.128,1.128,0.000
29810,1007,758.744,142.441,106.779,12.008,87.293
29811,995,757.583,147.455,106.782,11.864,90.230
29812,1013,756.616,152.047,106.606,12.099,93.516
29813,1008,755.726,155.913,105.668,12.146,96.483
29814,932,755.138,158.786,102.137,11.618,99.484
29815,911,754.178,160.987,101.697,11.406,102.361
29816,937,752.710,161.822,102.645,11.623,104.754
29817,986,750.847,161.794,104.001,12.071,106.644
29818,1006,748.594,160.595,105.189,12.177,108.111
29819,1,75.500,150.500,1.128,1.128,0.000
29820,1013,745.912,158.576,105.700,12.202,109.234
29821,985,742.617,155.491,104.593,11.991,109.430
29822,1,75.500,149.500,1.128,1.128,0.000
29823,949,739.221,151.435,102.839,11.749,108.990
29824,913,735.854,146.566,102.066,11.389,107.988
29825,1,402.500,248.500,1.128,1.128,0.000
29826,938,732.439,141.043,102.265,11.678,105.950
29827,1,75.500,149.500,1.128,1.128,0.000
29828,970,729.224,134.789,104.060,11.869,103.271
29829,1009,726.734,128.444,105.859,12.136,100.232
29830,1,75.500,149.500,1.128,1.128,0.000
29831,1007,724.786,121.876,106.465,12.043,96.877
29832,1,402.500,248.500,1.128,1.128,0.000
29833,995,723.272,115.489,105.630,11.993,93.211
29834,1,75.500,149.500,1.128,1.128,0.000
29835,965,722.529,109.920,103.872,11.829,89.906
29836,919,721.991,104.896,102.390,11.428,86.133
29837,1,402.500,248.500,1.128,1.128,0.000
29838,957,721.528,101.267,102.902,11.841,82.377
29839,1,75.500,149.500,1.128,1.128,0.000
29840,941,721.009,97.979,102.835,11.651,78.858
29841,950,720.279,95.954,103.905,11.641,75.926
29842,978,719.075,95.471,104.809,11.881,73.351
29843,979,717.245,95.846,104.949,11.877,71.148
29844,942,715.040,97.252,103.395,11.600,69.807
29845,915,712.244,100.254,101.966,11.426,69.155
29846,907,708.936,104.207,101.666,11.359,69.106
29847,945,705.172,109.306,103.924,11.578,69.810
29848,974,701.402,115.694,105.875,11.713,71.230
29849,1,75.500,149.500,1.128,1.128,0.000
29850,994,698.148,122.474,107.128,11.814,73.573
29851,1000,695.284,129.936,107.751,11.816,76.547
29852,995,693.121,137.753,106.745,11.868,79.940
29853,1,75.500,149.500,1.128,1.128,0.000
29854,967,691.649,145.291,105.253,11.698,83.592
29855,930,690.969,152.178,103.296,11.463,87.418
29856,1,402.500,248.500,1.128,1.128,0.000
29857,966,690.654,159.049,104.486,11.771,91.139
29858,965,690.475,164.677,105.049,11.696,94.593
29859,1,75.500,149.500,1.128,1.128,0.000
29860,1,506.500,61.500,1.128,1.128,0.000
29861,999,690.749,169.583,106.544,11.938,98.199
29862,981,690.961,173.388,105.888,11.796,101.825
29863,981,690.820,175.863,105.485,11.841,105.299
29864,1,402.500,248.500,1.128,1.128,0.000
29865,939,690.359,177.267,103.715,11.527,108.286
29866,917,689.068,177.204,102.425,11.399,110.720
29867,889,686.984,175.738,101.143,11.191,112.465
29868,903,684.114,173.296,101.470,11.331,113.287
29869,897,680.599,169.493,101.970,11.200,113.283
29870,929,676.837,164.603,103.591,11.418,112.380
29871,912,673.068,158.666,103.451,11.225,110.593
29872,882,669.399,152.057,102.399,10.967,107.875
29873,1,75.500,149.500,1.128,1.128,0.000
29874,876,666.556,144.880,101.638,10.974,104.870
29875,1,75.500,149.500,1.128,1.128,0.000
29876,850,664.149,137.366,100.719,10.745,101.273
29877,871,662.289,129.696,100.875,10.994,97.401
29878,904,661.338,122.331,102.804,11.196,93.405
29879,1,75.500,149.500,1.128,1.128,0.000
29880,865,661.042,115.782,102.188,10.778,89.759
29881,883,660.892,110.097,102.067,11.015,85.679
29882,871,661.235,105.096,101.406,10.936,81.887
29883,870,661.349,101.702,100.940,10.974,78.410
29884,857,661.151,99.596,101.292,10.773,74.922
29885,876,660.176,99.086,102.576,10.873,71.944
29886,867,659.042,99.071,103.350,10.681,69.673
29887,20,651.750,105.200,17.286,1.473,70.469
29888,895,656.642,100.927,103.970,10.960,68.026
29889,2,653.500,96.000,2.257,1.128,90.000
29890,901,653.533,104.134,103.792,11.053,67.173
29891,839,650.443,108.207,102.543,10.418,67.376
29892,1,647.500,102.500,1.128,1.128,0.000
29893,5,645.300,108.300,4.183,1.522,79.099
29894,3,642.500,115.500,3.385,1.128,90.000
29895,4,641.000,119.000,2.257,2.257,0.000
29896,816,646.920,113.495,101.556,10.230,68.472
29897,2,647.000,101.500,2.257,1.128,0.000
29898,5,645.100,105.100,4.076,1.562,69.006
29899,1,643.500,109.500,1.128,1.128,0.000
29900,1,642.500,112.500,1.128,1.128,0.000
29901,2,640.500,117.000,2.257,1.128,90.000
29902,6,639.000,121.000,3.988,1.916,71.565
29903,3,637.167,125.167,2.365,1.615,45.000
29904,813,643.347,119.860,101.941,10.154,70.280
29905,3,643.833,103.833,2.365,1.615,45.000
29906,3,642.500,108.500,3.385,1.128,90.000
29907,2,637.500,122.000,2.257,1.128,90.000
29908,3,635.833,126.833,2.365,1.615,45.000
29909,2,634.500,130.000,2.257,1.128,90.000
29910,3,632.833,134.833,2.365,1.615,45.000
29911,847,639.787,127.126,103.159,10.454,72.546
29912,2,635.500,124.000,2.257,1.128,90.000
29913,907,636.830,134.862,105.120,10.986,75.424
29914,5,635.500,120.500,5.642,1.128,90.000
29915,2,634.500,125.000,2.257,1.128,90.000
29916,920,634.517,143.343,106.209,11.029,78.720
29917,5,632.500,128.500,5.642,1.128,90.000
29918,2,631.500,136.000,2.257,1.128,90.000
29919,978,632.947,151.121,107.608,11.572,82.311
29920,937,632.203,159.040,106.106,11.244,86.141
29921,904,632.056,166.021,104.868,10.976,89.815
29922,893,632.590,173.026,103.237,11.014,93.915
29923,881,633.106,178.326,102.828,10.909,97.705
29924,868,633.840,182.855,103.501,10.678,101.169
29925,5,626.500,169.500,5.642,1.128,90.000
29926,4,627.500,176.000,4.514,1.128,90.000
29927,2,629.500,185.000,2.257,1.128,90.000
29928,1,640.500,37.500,1.128,1.128,0.000
29929,894,633.990,185.536,104.450,10.898,104.617
29930,7,627.929,181.500,6.993,1.275,102.269
29931,3,629.833,189.167,2.365,1.615,135.000
29932,905,633.763,187.110,105.159,10.957,107.907
29933,3,624.500,174.500,3.385,1.128,90.000
29934,1,627.500,182.500,1.128,1.128,0.000
29935,2,628.500,186.000,2.257,1.128,90.000
29936,910,632.927,187.699,105.218,11.012,110.699
29937,1,622.500,173.500,1.128,1.128,0.000
29938,873,631.160,186.469,104.290,10.658,112.892
29939,2,627.500,191.000,2.257,1.128,90.000
29940,9,630.056,196.500,7.695,1.489,117.198
