 ,Area,XM,YM,Major,Minor,Angle
1573,1,260.500,281.500,1.128,1.128,0.000
1574,919,210.007,138.613,110.136,10.624,114.663
1575,5,401.300,272.900,3.144,2.025,18.435
1576,10,763.000,277.500,5.642,2.257,90.000
1577,936,207.002,135.670,110.654,10.770,115.904
1578,5,401.300,272.900,3.144,2.025,18.435
1579,11,762.955,277.227,6.327,2.214,93.058
1580,928,203.606,131.891,110.438,10.699,116.143
1581,5,401.300,272.900,3.144,2.025,18.435
1582,11,762.955,277.227,6.327,2.214,93.058
1583,932,199.364,126.500,110.686,10.721,115.116
1584,5,401.300,272.900,3.144,2.025,18.435
1585,11,762.955,277.227,6.327,2.214,93.058
1586,929,195.301,120.133,110.584,10.696,112.922
1587,5,401.300,272.900,3.144,2.025,18.435
1588,11,762.955,277.227,6.327,2.214,93.058
1589,1,260.500,282.500,1.128,1.128,0.000
1590,931,191.562,112.665,110.722,10.706,110.064
1591,5,401.300,272.900,3.144,2.025,18.435
1592,11,762.955,277.227,6.327,2.214,93.058
1593,1,260.500,282.500,1.128,1.128,0.000
1594,925,188.228,104.796,110.955,10.615,106.567
1595,4,401.000,273.000,2.257,2.257,0.000
1596,11,762.955,277.227,6.327,2.214,93.058
1597,1,9.500,25.500,1.128,1.128,0.000
1598,914,185.730,96.142,110.197,10.561,102.612
1599,3,401.500,272.500,3.385,1.128,0.000
1600,11,762.955,277.227,6.327,2.214,93.058
1601,918,184.041,87.538,110.406,10.587,98.479
1602,3,400.833,272.833,2.365,1.615,45.000
1603,11,762.955,277.227,6.327,2.214,93.058
1604,938,183.183,79.332,111.087,10.751,94.323
1605,5,401.300,272.900,3.144,2.025,18.435
1606,12,762.833,277.083,6.187,2.469,97.804
1607,933,183.010,72.516,110.599,10.741,90.376
1608,5,401.300,272.900,3.144,2.025,18.435
1609,11,762.955,277.227,6.327,2.214,93.058
1610,1,260.500,282.500,1.128,1.128,0.000
1611,930,183.582,65.282,110.715,10.695,85.896
1612,3,401.500,272.500,3.385,1.128,0.000
1613,11,762.955,277.227,6.327,2.214,93.058
1614,937,184.184,59.633,110.456,10.801,81.793
1615,5,401.300,272.900,3.144,2.025,18.435
1616,11,762.955,277.227,6.327,2.214,93.058
1617,1,260.500,281.500,1.128,1.128,0.000
1618,929,184.875,55.406,110.319,10.722,77.692
1619,5,401.300,272.900,3.144,2.025,18.435
1620,10,763.000,277.500,5.642,2.257,90.000
1621,1,260.500,282.500,1.128,1.128,0.000
1622,924,185.098,52.658,110.064,10.689,74.027
1623,5,401.300,272.900,3.144,2.025,18.435
1624,11,762.955,277.227,6.327,2.214,93.058
1625,928,184.833,51.218,110.226,10.719,70.738
1626,5,401.300,272.900,3.144,2.025,18.435
1627,10,763.000,277.500,5.642,2.257,90.000
1628,922,183.662,51.445,110.217,10.651,67.997
1629,4,401.000,273.000,2.257,2.257,0.000
1630,11,762.955,277.227,6.327,2.214,93.058
1631,926,181.679,52.731,110.201,10.699,66.189
1632,5,401.300,272.900,3.144,2.025,18.435
