 ,XM,YM,Major,Minor,Angle
202,109.035,32.501,28.178,2.393,94.920
203,108.484,32.747,28.324,2.351,95.065
204,107.825,32.225,28.727,2.337,95.350
205,107.186,31.930,27.374,2.359,95.398
206,106.620,32.125,27.821,2.281,95.574
207,106.017,31.950,28.733,2.387,95.809
208,105.394,31.784,28.034,2.345,95.664
209,104.744,31.526,28.085,2.279,95.503
210,104.177,31.596,28.390,2.335,95.540
211,103.523,31.192,28.592,2.388,95.487
212,102.879,31.034,27.646,2.357,95.352
213,102.324,31.150,28.349,2.339,95.287
214,101.631,30.482,28.310,2.291,94.814
215,101.026,30.407,28.552,2.362,94.923
216,100.428,30.532,28.365,2.387,94.847
217,99.795,30.052,27.949,2.280,94.117
218,99.249,30.297,27.989,2.338,93.917
219,98.526,29.603,27.829,2.341,93.829
220,97.913,29.502,28.800,2.351,93.476
221,97.334,29.266,28.356,2.408,93.052
222,96.674,29.170,28.801,2.292,92.200
223,96.155,29.300,28.730,2.308,91.939
224,95.485,29.005,28.164,2.253,91.478
225,94.820,28.980,28.212,2.360,91.208
226,94.246,28.917,28.174,2.363,90.419
227,93.646,28.709,28.263,2.134,90.106
228,92.970,28.643,28.288,2.394,89.686
229,92.403,28.448,28.708,2.339,89.233
230,91.776,28.247,28.684,2.301,88.709
231,91.157,28.293,28.599,2.358,88.429
232,90.522,28.467,27.370,2.329,88.658
233,89.933,28.389,28.372,2.266,88.299
234,89.321,28.246,28.102,2.410,88.129
235,88.690,28.081,28.439,2.351,88.144
236,88.100,28.516,27.968,2.299,88.204
237,87.461,28.573,28.188,2.352,87.986
238,86.837,28.430,28.421,2.313,88.186
239,86.223,28.777,28.022,2.325,88.376
240,85.636,28.602,28.588,2.269,88.607
241,85.005,29.015,27.952,2.351,88.968
242,84.389,28.765,28.416,2.353,89.373
243,83.829,28.954,27.987,2.359,90.011
244,83.259,28.879,28.731,2.199,90.568
245,82.615,28.850,27.954,2.270,91.394
246,82.030,28.758,28.582,2.349,91.844
247,81.522,29.193,28.040,2.273,92.422
248,80.910,28.553,28.412,2.303,93.666
249,80.410,28.879,27.895,2.244,94.247
250,79.809,28.492,27.871,2.338,95.224
251,79.312,28.780,28.103,2.339,96.054
252,78.737,28.750,28.571,2.320,97.032
253,78.160,28.570,28.228,2.268,97.298
254,77.578,28.556,28.329,2.360,97.675
255,76.928,28.125,28.103,2.379,97.814
256,76.332,28.083,27.893,2.305,97.793
257,75.720,28.057,28.214,2.380,97.951
258,75.042,27.658,27.893,2.377,97.791
259,74.431,27.499,28.446,2.281,97.465
260,73.775,27.155,27.461,2.393,97.044
261,73.166,27.209,28.208,2.300,96.542
262,72.448,26.434,28.096,2.370,96.037
263,71.857,26.479,28.659,2.373,95.664
264,71.181,25.912,28.655,2.343,95.063
265,70.522,25.552,28.436,2.301,94.033
266,69.965,25.659,28.574,2.390,93.605
267,69.271,25.339,28.169,2.252,92.506
268,68.744,25.336,28.755,2.276,92.089
269,68.131,25.158,28.956,2.280,91.281
270,67.446,24.663,28.690,2.390,90.917
271,66.862,25.007,28.115,2.398,90.560
272,66.316,24.679,28.051,2.313,90.162
273,65.644,24.772,28.190,2.301,89.706
274,65.039,24.694,28.236,2.388,89.552
275,64.504,24.331,28.204,2.351,89.257
276,63.856,24.235,28.596,2.348,88.749
277,63.224,24.270,28.733,2.426,88.727
278,62.634,24.516,27.643,2.336,88.896
279,62.045,24.401,28.458,2.280,88.482
280,61.431,24.250,28.471,2.388,88.500
281,60.803,24.305,28.218,2.390,88.630
282,60.205,24.413,27.572,2.394,88.692
283,59.578,24.367,28.623,2.416,88.577
284,58.971,24.634,28.228,2.409,88.930
285,58.372,24.753,28.379,2.396,89.327
286,57.812,24.430,28.473,2.448,89.402
287,57.160,24.804,27.857,2.359,89.662
288,56.536,24.828,27.893,2.530,89.780
289,55.965,24.993,28.223,2.420,90.441
290,55.423,25.086,28.615,2.436,90.607
291,54.749,24.831,28.424,2.633,91.228
292,54.183,24.964,28.653,2.512,91.741
293,53.650,25.042,28.757,2.365,92.148
294,53.015,24.727,28.733,2.426,93.205
295,52.445,24.952,28.361,2.378,93.608
296,51.799,24.900,28.831,2.448,94.253
297,51.155,24.526,28.413,2.333,94.146
298,50.585,24.750,27.460,2.311,94.313
299,49.914,24.469,28.514,2.365,94.934
300,49.360,24.763,28.472,2.388,95.041
301,48.715,24.368,28.033,2.314,94.988
302,48.018,23.986,28.024,2.335,95.354
303,47.469,24.321,28.127,2.397,95.273
304,46.825,24.098,28.459,2.329,95.313
305,46.137,23.777,28.140,2.356,95.423
306,45.560,23.865,28.169,2.394,95.246
307,44.905,23.700,28.100,2.268,94.976
308,44.198,23.238,28.049,2.435,94.947
309,43.580,23.136,27.972,2.329,94.522
310,42.954,23.025,27.830,2.331,94.081
311,42.248,22.683,27.768,2.326,93.930
312,41.638,22.431,28.469,2.389,93.591
313,41.000,22.433,28.358,2.388,93.041
314,40.378,22.404,27.925,2.282,92.630
315,39.714,22.141,27.646,2.419,92.570
316,39.047,21.922,28.133,2.336,91.802
317,38.456,21.730,27.922,2.293,91.475
318,37.736,21.585,27.960,2.391,91.005
319,37.129,21.153,28.038,2.375,90.545
320,36.564,21.458,27.756,2.358,90.294
321,35.806,21.310,27.503,2.379,89.938
322,35.228,21.201,28.283,2.364,89.583
323,34.621,20.934,28.011,2.397,89.294
324,33.903,20.985,28.552,2.412,88.931
325,33.327,21.321,27.932,2.353,89.210
326,32.652,20.988,27.791,2.396,88.609
327,31.983,20.887,28.616,2.356,88.683
328,31.384,21.137,27.230,2.361,88.644
329,30.708,21.088,27.816,2.445,88.317
330,30.077,20.999,28.980,2.356,88.655
331,29.452,21.024,27.460,2.321,88.547
332,28.758,21.051,28.185,2.504,88.647
333,28.139,21.497,27.756,2.378,89.148
334,27.484,21.034,27.593,2.372,88.798
335,26.766,21.515,27.572,2.373,89.308
336,26.216,21.406,28.340,2.359,89.556
337,25.482,21.456,27.066,2.334,89.829
338,24.857,21.537,27.989,2.358,89.934
339,24.282,21.726,28.058,2.363,90.394
340,23.523,21.726,28.119,2.378,90.663
341,22.913,21.597,27.487,2.391,90.899
342,22.251,21.662,27.574,2.394,91.219
343,21.568,21.957,27.933,2.353,91.694
344,20.982,21.988,28.289,2.384,92.140
345,20.251,21.865,27.163,2.503,92.269
346,19.612,21.744,27.957,2.310,92.355
347,18.980,22.021,28.184,2.403,93.091
348,18.277,21.719,27.773,2.377,92.902
349,17.594,21.569,27.220,2.383,93.366
350,16.969,21.854,28.285,2.384,93.633
351,16.235,21.634,27.850,2.360,93.727
352,15.601,21.444,28.073,2.362,93.791
353,14.944,21.769,27.926,2.466,94.226
354,14.236,21.222,27.978,2.380,93.972
355,13.583,21.475,27.902,2.447,94.043
356,12.845,20.963,28.454,2.380,94.043
357,12.217,21.150,28.019,2.397,93.737
358,11.488,20.883,28.030,2.416,93.846
359,10.826,20.685,28.086,2.401,93.619
360,10.078,20.467,27.385,2.348,93.423
361,9.441,20.448,27.999,2.459,93.468
362,8.731,20.282,27.902,2.274,92.808
363,8.076,20.348,27.992,2.470,93.125
364,7.344,19.868,28.131,2.316,92.265
365,6.720,20.106,28.403,2.424,92.690
366,5.961,19.767,27.750,2.348,91.756
367,5.331,19.709,28.213,2.400,92.001
368,4.569,19.423,28.154,2.375,91.420
369,3.960,19.591,27.804,2.333,91.288
