 ,XM,YM,Major,Minor,Angle
371,11.945,48.768,27.036,2.473,88.900
372,11.259,48.816,27.571,2.332,89.350
373,10.535,49.596,27.728,2.464,89.242
374,9.817,49.147,27.179,2.608,89.642
375,9.109,49.206,27.497,2.299,89.926
376,8.407,49.387,27.364,2.417,90.282
377,7.694,49.561,27.491,2.618,90.469
378,6.981,49.677,27.528,2.349,90.592
379,6.274,49.388,27.068,2.416,90.760
380,5.574,49.567,26.432,2.627,91.151
381,4.845,49.565,27.922,2.329,91.314
382,4.135,49.658,27.735,2.411,91.654
383,3.412,49.620,26.845,2.586,91.911
384,2.691,49.572,27.318,2.274,91.680
385,1.999,49.881,27.577,2.398,92.108
386,1.265,49.610,27.172,2.515,92.202
387,0.782,50.607,26.212,1.742,91.177
388,0.490,52.788,24.001,1.172,90.257
389,192.586,0.536,1.813,1.209,0.000
390,271.346,1.282,6.457,2.660,178.312
391,118.123,1.875,0.604,0.604,0.000
392,184.015,2.143,1.209,0.604,90.000
393,276.096,4.137,2.649,1.241,152.537
394,14.732,5.089,0.604,0.604,0.000
395,256.335,6.696,0.604,0.604,0.000
396,118.659,8.303,0.604,0.604,0.000
397,248.299,8.571,1.209,0.604,90.000
398,248.299,10.446,1.813,0.604,90.000
399,43.660,12.053,0.604,0.604,0.000
400,200.657,12.982,3.004,1.824,159.944
401,56.919,12.991,1.710,0.855,161.565
402,60.802,12.589,0.604,0.604,0.000
403,275.811,13.431,3.422,1.495,29.549
404,270.521,17.147,6.795,6.023,110.062
405,57.588,14.732,0.604,0.604,0.000
406,204.697,16.921,4.105,2.047,29.337
407,166.336,15.803,0.604,0.604,0.000
408,167.408,15.803,0.604,0.604,0.000
409,167.676,16.875,1.209,0.604,0.000
410,253.120,17.678,1.723,0.848,31.717
411,201.693,18.482,0.604,0.604,0.000
412,208.255,19.018,1.969,0.742,39.690
413,218.064,19.768,4.443,2.056,171.254
414,204.907,19.553,0.604,0.604,0.000
415,206.246,19.553,1.209,0.604,0.000
416,257.272,20.669,2.775,1.580,94.837
417,41.517,20.625,0.604,0.604,0.000
418,253.299,20.803,1.267,0.865,45.000
419,265.977,20.625,0.604,0.604,0.000
420,275.390,21.696,3.518,1.454,30.887
421,252.585,23.303,0.604,0.604,0.000
422,154.283,24.375,1.209,0.604,0.000
423,277.227,24.642,1.209,0.604,90.000
424,169.015,25.312,1.465,0.998,0.000
425,274.147,25.714,1.831,0.798,83.380
426,54.910,26.250,2.179,1.342,45.000
427,272.406,25.446,0.604,0.604,0.000
428,9.509,27.053,1.465,0.998,90.000
429,43.749,29.196,1.596,1.374,90.000
430,51.696,29.151,2.857,1.535,166.030
431,265.977,28.660,0.604,0.604,0.000
432,274.013,30.267,0.604,0.604,0.000
433,275.084,30.267,0.604,0.604,0.000
434,191.514,30.803,0.604,0.604,0.000
435,270.686,32.382,4.278,1.623,5.016
436,50.511,34.045,3.932,1.766,104.036
437,46.874,35.624,0.604,0.604,0.000
438,78.481,40.981,0.604,0.604,0.000
439,0.413,53.430,21.127,1.020,90.083
440,244.013,42.321,1.209,0.604,90.000
441,43.124,44.196,0.604,0.604,0.000
442,266.481,48.952,9.218,1.308,163.222
443,269.744,52.361,8.121,1.485,10.687
444,130.444,53.035,1.723,0.848,31.717
445,83.659,54.017,1.267,0.865,135.000
446,146.783,56.517,1.209,0.604,0.000
447,4.553,58.660,0.604,0.604,0.000
448,23.482,58.838,1.267,0.865,45.000
449,122.409,59.195,0.604,0.604,0.000
450,268.388,59.463,1.209,1.209,0.000
451,261.156,59.731,0.604,0.604,0.000
452,183.265,60.695,1.684,1.085,108.435
453,250.871,61.660,1.684,1.085,161.565
454,31.473,63.079,1.710,0.855,108.435
455,204.103,62.410,1.209,0.604,0.000
456,141.694,65.624,0.604,0.604,0.000
457,182.943,67.231,0.604,0.604,0.000
458,238.121,67.231,0.604,0.604,0.000
459,239.996,67.231,1.209,0.604,0.000
460,192.739,0.574,2.225,1.150,171.650
461,238.656,0.268,0.604,0.604,0.000
462,250.978,0.268,0.604,0.604,0.000
463,272.496,1.958,8.918,2.909,157.044
464,20.267,1.696,1.267,0.865,135.000
465,118.391,2.143,2.418,1.209,90.000
466,183.896,2.232,2.230,1.474,133.093
467,45.803,2.054,1.721,0.637,28.155
468,58.124,2.411,0.604,0.604,0.000
469,19.553,2.946,0.604,0.604,0.000
470,162.319,3.750,1.390,0.526,135.000
471,84.373,4.018,0.604,0.604,0.000
472,14.518,5.196,1.684,1.085,71.565
473,118.123,4.553,0.604,0.604,0.000
474,44.731,5.089,0.604,0.604,0.000
475,51.696,5.089,0.604,0.604,0.000
476,67.231,5.625,0.604,0.604,0.000
477,118.123,6.428,1.209,0.604,90.000
478,256.603,6.428,1.209,1.209,0.000
479,267.585,6.161,0.604,0.604,0.000
480,269.192,6.696,0.604,0.604,0.000
481,248.299,9.643,3.674,1.392,85.525
482,118.525,8.571,2.126,0.687,72.391
483,277.227,7.768,0.604,0.604,0.000
484,204.371,8.303,0.604,0.604,0.000
485,182.943,8.839,0.604,0.604,0.000
486,141.694,9.375,0.604,0.604,0.000
487,43.124,10.446,0.604,0.604,0.000
488,203.611,15.969,10.806,4.362,138.606
489,201.693,10.446,0.604,0.604,0.000
490,118.659,10.982,0.604,0.604,0.000
491,167.943,10.982,0.604,0.604,0.000
492,42.053,11.518,0.604,0.604,0.000
493,43.660,11.518,0.604,0.604,0.000
494,60.802,12.321,1.209,0.604,90.000
495,239.192,12.053,0.604,0.604,0.000
496,256.335,12.053,0.604,0.604,0.000
497,271.201,12.455,1.499,0.975,45.000
498,57.053,12.857,1.813,1.209,0.000
499,271.213,16.740,9.022,6.440,36.340
500,202.764,13.393,1.209,0.604,90.000
501,247.763,13.125,0.604,0.604,0.000
502,46.338,13.660,0.604,0.604,0.000
503,168.479,13.982,1.738,1.051,0.000
504,197.407,13.660,0.604,0.604,0.000
505,250.040,14.196,1.465,0.998,90.000
506,44.463,14.464,1.390,0.526,45.000
507,57.856,15.000,1.390,0.526,135.000
508,45.803,15.268,0.604,0.604,0.000
509,167.818,17.428,4.595,2.386,112.899
510,169.551,15.268,0.604,0.604,0.000
511,229.549,16.339,0.604,0.604,0.000
512,249.906,17.410,0.604,0.604,0.000
513,253.120,17.678,1.813,1.209,0.000
514,254.728,17.410,0.604,0.604,0.000
515,200.383,19.672,2.280,1.442,147.757
516,218.093,19.882,5.643,2.849,174.871
517,257.282,20.748,2.598,1.829,70.206
518,265.977,19.553,0.604,0.604,0.000
519,209.193,20.089,0.604,0.604,0.000
520,233.299,20.089,0.604,0.604,0.000
521,272.942,20.089,0.604,0.604,0.000
522,274.750,23.724,7.047,2.904,68.763
523,42.589,20.625,0.604,0.604,0.000
524,152.944,20.625,0.604,0.604,0.000
525,253.120,21.093,1.791,1.633,0.000
526,265.710,20.625,1.209,0.604,0.000
527,267.049,20.625,0.604,0.604,0.000
528,42.053,21.696,0.604,0.604,0.000
529,264.906,21.696,0.604,0.604,0.000
530,266.513,22.767,0.604,0.604,0.000
531,53.303,23.303,0.604,0.604,0.000
532,252.585,23.839,1.813,0.604,90.000
533,271.334,23.303,0.604,0.604,0.000
534,125.087,23.839,0.604,0.604,0.000
535,154.372,24.196,1.267,0.865,45.000
536,277.227,24.642,2.418,0.604,90.000
537,150.533,24.642,1.390,0.526,45.000
538,169.168,25.369,1.879,1.362,120.473
539,55.345,26.216,2.881,2.029,28.782
540,246.692,25.446,0.604,0.604,0.000
541,70.981,25.982,0.604,0.604,0.000
542,165.801,25.982,0.604,0.604,0.000
543,9.589,26.946,1.684,1.085,71.565
544,58.124,26.517,0.604,0.604,0.000
545,60.802,26.517,0.604,0.604,0.000
546,272.227,26.696,1.267,0.865,135.000
547,6.161,27.053,0.604,0.604,0.000
548,46.874,27.053,0.604,0.604,0.000
549,276.156,27.053,0.604,0.604,0.000
550,57.053,27.589,0.604,0.604,0.000
551,51.662,29.263,2.840,2.059,156.202
552,265.977,28.571,1.992,1.101,36.870
553,272.406,28.124,0.604,0.604,0.000
